season,game_date,home_team,away_team,home_score,away_score,home_win,label,neutral,elo_diff,win_pct_diff,log5_prob,pythagorean_diff,is_home
2021,2021-06-05,WSH,LV,93,96,0,0,0,-73.68141645544574,0.0,0.5,0.0,1.0
2021,2021-06-05,LA,CHI,68,63,1,1,0,35.25478191157231,0.0,0.5,0.0,1.0
2021,2021-06-05,CONN,NY,85,64,1,1,0,41.84165257485779,0.0,0.5,0.0,1.0
2021,2021-06-06,MIN,ATL,100,80,1,1,0,-31.02000461929879,0.0,0.5,0.0,1.0
2021,2021-06-06,SEA,DAL,67,68,0,0,0,92.10685962797811,0.0,0.5,0.0,1.0
2021,2021-06-08,WSH,MIN,85,81,1,1,0,-43.850329274956266,0.0,0.5,0.0,1.0
2021,2021-06-08,PHX,DAL,81,85,0,0,0,32.05588045540139,0.0,0.5,0.0,1.0
2021,2021-06-09,ATL,SEA,71,95,0,0,0,-31.00570561920472,0.0,0.5,0.0,1.0
2021,2021-06-09,CHI,IND,92,76,1,1,0,16.27678190302254,0.0,0.5,0.0,1.0
2021,2021-06-10,WSH,LA,89,71,1,1,0,-33.30648568110655,0.0,0.5,0.0,1.0
2021,2021-06-11,ATL,SEA,75,86,0,0,0,-52.670887563182305,0.0,0.5,0.0,1.0
2021,2021-06-11,PHX,DAL,59,77,0,0,0,6.877337364763434,0.0,0.5,0.0,1.0
2021,2021-06-12,IND,CHI,79,83,0,0,0,-31.95514780439248,0.0,0.5,0.0,1.0
2021,2021-06-12,MIN,LA,80,64,1,1,0,0.7060314715149616,0.0,0.5,0.0,1.0
2021,2021-06-13,CONN,SEA,66,89,0,0,0,-3.5076424286858128,0.0,0.5,0.0,1.0
2021,2021-06-13,ATL,WSH,101,78,1,1,0,16.722473268305066,0.0,0.5,0.0,1.0
2021,2021-06-13,LV,DAL,85,78,1,1,0,44.73362038777441,0.0,0.5,0.0,1.0
2021,2021-06-13,PHX,NY,83,85,0,0,0,-17.699708282391384,0.0,0.5,0.0,1.0
2021,2021-06-15,IND,SEA,70,87,0,0,0,-162.17998492612264,0.0,0.5,0.0,1.0
2021,2021-06-15,MIN,CHI,89,105,0,0,0,31.003354843842317,0.0,0.5,0.0,1.0
2021,2021-06-15,LV,NY,100,78,1,1,0,39.82160305211346,0.0,0.5,0.0,1.0
2021,2021-06-16,LA,PHX,85,80,1,1,0,5.314943641387572,0.0,0.5,0.0,1.0
2021,2021-06-17,IND,SEA,69,79,0,0,0,-176.46194688706714,0.0,0.5,0.0,1.0
2021,2021-06-17,WSH,ATL,96,93,1,1,0,-32.376387818171,0.0,0.5,0.0,1.0
2021,2021-06-17,CHI,CONN,81,75,1,1,0,-69.32171126850699,0.0,0.5,0.0,1.0
2021,2021-06-17,DAL,MIN,73,85,0,0,0,11.06286560562853,0.0,0.5,0.0,1.0
2021,2021-06-17,LV,NY,103,76,1,1,0,54.22846790926951,0.0,0.5,0.0,1.0
2021,2021-06-18,LA,PHX,66,80,0,0,0,21.598787777289317,0.0,0.5,0.0,1.0
2021,2021-06-19,CHI,CONN,91,81,1,1,0,-48.78523915381629,0.0,0.5,0.0,1.0
2021,2021-06-19,WSH,IND,82,77,1,1,0,76.04171691679812,0.0,0.5,0.0,1.0
2021,2021-06-19,DAL,MIN,95,77,1,1,0,-12.971735923232472,0.0,0.5,0.0,1.0
2021,2021-06-20,LA,NY,73,76,0,0,0,-24.943006567618113,0.0,0.5,0.0,1.0
2021,2021-06-22,CONN,DAL,80,70,1,1,0,35.79457858786327,0.0,0.5,0.0,1.0
2021,2021-06-22,NY,CHI,72,92,0,0,0,13.034351216818777,0.0,0.5,0.0,1.0
2021,2021-06-22,SEA,WSH,83,87,0,0,0,107.68348096795967,0.0,0.5,0.0,1.0
2021,2021-06-23,ATL,MIN,85,87,0,0,0,0.7247315125264322,0.0,0.5,0.0,1.0
2021,2021-06-24,IND,DAL,64,89,0,0,0,-92.58003028928192,0.0,0.5,0.0,1.0
2021,2021-06-24,NY,CHI,68,91,0,0,0,-11.108994110738877,0.0,0.5,0.0,1.0
2021,2021-06-24,LA,WSH,89,82,1,1,0,-30.73636720788886,0.0,0.5,0.0,1.0
2021,2021-06-25,MIN,LV,90,89,1,1,0,-68.8800852577931,0.0,0.5,0.0,1.0
2021,2021-06-26,DAL,WSH,85,74,1,1,0,7.73362403136548,0.0,0.5,0.0,1.0
2021,2021-06-26,ATL,NY,78,101,0,0,0,-11.271684814262244,0.0,0.5,0.0,1.0
2021,2021-06-27,CONN,CHI,74,58,1,1,0,13.271552379143031,0.0,0.5,0.0,1.0
2021,2021-06-27,LV,SEA,95,92,1,1,0,-15.879728472217266,0.0,0.5,0.0,1.0
2021,2021-06-27,PHX,LA,88,79,1,1,0,4.859814932467771,0.0,0.5,0.0,1.0
2021,2021-06-29,ATL,NY,73,69,1,1,0,-34.05846364141462,0.0,0.5,0.0,1.0
2021,2021-06-29,WSH,CONN,71,90,0,0,0,-65.08101916183728,0.0,0.5,0.0,1.0
2021,2021-06-30,DAL,CHI,81,91,0,0,0,-12.082658216498658,0.0,0.5,0.0,1.0
2021,2021-06-30,PHX,MIN,76,82,0,0,0,-23.030025463575612,0.0,0.5,0.0,1.0
2021,2021-06-30,LA,LV,75,99,0,0,0,-101.30490203710042,0.0,0.5,0.0,1.0
2021,2021-07-01,IND,CONN,80,86,0,0,0,-169.83641478015943,0.0,0.5,0.0,1.0
2021,2021-07-02,DAL,CHI,100,91,1,1,0,-34.82364522553826,0.0,0.5,0.0,1.0
2021,2021-07-02,LA,LV,58,66,0,0,0,-118.93833964826217,0.0,0.5,0.0,1.0
2021,2021-07-02,SEA,ATL,91,88,1,1,0,90.6417437220025,0.0,0.5,0.0,1.0
2021,2021-07-03,IND,CONN,73,67,1,1,0,-183.71626179517398,0.0,0.5,0.0,1.0
